state,state_code,idps,households
Aj Jazirah,SD15,371177.0,73323
Blue Nile,SD08,147736.0,29836
Central Darfur,SD06,430224.0,86044
East Darfur,SD05,660140.0,131918
Gedaref,SD12,492293.0,97817
Kassala,SD11,200083.0,40282
Khartoum,SD01,69057.0,13717
North Darfur,SD02,573055.0,114503
North Kordofan,SD13,174007.0,34261
Northern,SD17,399867.0,80305
Red Sea,SD10,247874.0,49953
River Nile,SD16,698334.0,137799
Sennar,SD14,523986.0,104002
South Darfur,SD03,744243.0,148848
South Kordofan,SD07,198839.0,39492
West Darfur,SD04,174540.0,34908
West Kordofan,SD18,148718.0,29340
White Nile,SD09,532643.0,105920
