state_code,state_name,idps,households,report_date,month_start,rank,hotspot
SD04,West Darfur,194593.0,38919.0,2023-04-27,2023-04-01,1,True
SD03,South Darfur,45000.0,9000.0,2023-04-27,2023-04-01,2,True
SD17,Northern,29200.0,5840.0,2023-04-27,2023-04-01,3,True
SD01,Khartoum,13545.0,2709.0,2023-04-27,2023-04-01,4,True
SD13,North Kordofan,13270.0,2654.0,2023-04-27,2023-04-01,5,True
SD02,North Darfur,11675.0,2335.0,2023-04-27,2023-04-01,6,False
SD15,Aj Jazirah,8795.0,1759.0,2023-04-27,2023-04-01,7,False
SD09,White Nile,6165.0,1233.0,2023-04-27,2023-04-01,8,False
SD14,Sennar,5560.0,1112.0,2023-04-27,2023-04-01,9,False
SD16,River Nile,2910.0,582.0,2023-04-27,2023-04-01,10,False
SD06,Central Darfur,1780.0,356.0,2023-04-27,2023-04-01,11,False
SD10,Red Sea,1205.0,241.0,2023-04-27,2023-04-01,12,False
SD08,Blue Nile,260.0,52.0,2023-04-27,2023-04-01,13,False
SD11,Kassala,95.0,19.0,2023-04-27,2023-04-01,14,False
SD07,South Kordofan,0.0,0.0,2023-04-27,2023-04-01,15,False
SD05,East Darfur,0.0,0.0,2023-04-27,2023-04-01,16,False
SD12,Gedaref,0.0,0.0,2023-04-27,2023-04-01,17,False
SD18,West Kordofan,0.0,0.0,2023-04-27,2023-04-01,18,False
